"","Name","Occupation","Country","URL","year","master_year","year0","year1","year2","year3","year4","year5","year6","year7","year8","year9","year10","year11","year12","year13","year14","year15","year16","year17","Position","Company","Status","Type"
"1","02250991e7e7d85909a9a408030c4b73","Designer at Inno3 SAS","France","59be91171ff3280bdda1d8d44bbc2cdc","2019-2020","2020",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Designer","Inno3 SAS","Private","Other"
"2","02250991e7e7d85909a9a408030c4b73","Designer at Inno3 SAS","France","59be91171ff3280bdda1d8d44bbc2cdc","2019-2020","2020",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Lead XR Teacher","CRI","Public","Other"
"3","02250991e7e7d85909a9a408030c4b73","Designer at Inno3 SAS","France","59be91171ff3280bdda1d8d44bbc2cdc","2019-2020","2020",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Lead XR Teacher","CRI","Public","Other"
"4","02250991e7e7d85909a9a408030c4b73","Designer at Inno3 SAS","France","59be91171ff3280bdda1d8d44bbc2cdc","2019-2020","2020",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Education Mentor","CRI","Public","Other"
"5","02250991e7e7d85909a9a408030c4b73","Designer at Inno3 SAS","France","59be91171ff3280bdda1d8d44bbc2cdc","2019-2020","2020",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"UX-VR Researcher","VirtualiSurg, Immersive & Adaptive learning for surgery","Private","Research"
"6","02250991e7e7d85909a9a408030c4b73","Designer at Inno3 SAS","France","59be91171ff3280bdda1d8d44bbc2cdc","2019-2020","2020",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"President & Founder","CogLab, NeuroTechX Paris","Private","Board"
"7","573bd42c2d2ba1efacb388b3bf7e63cb","Consultant - Éthique de l'IA at UNESCO","France","96f996c785163aa634ff1e11a514f33d","2020-2021","2021",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Consultant - Éthique de l'IA","UNESCO","Public","Other"
"8","a9b4dab1b15956b98c0f0768e74fd37f","D.Sc. researhcer at Manfred Kopf lab at ETH Zürich","Switzerland","4b59a6298d5485852ddda0888d7051cc","2016/2017","2017",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"D.Sc. researhcer at Manfred Kopf lab","ETH Zürich","Public","Research"
"9","a9b4dab1b15956b98c0f0768e74fd37f","D.Sc. researhcer at Manfred Kopf lab at ETH Zürich","Switzerland","4b59a6298d5485852ddda0888d7051cc","2016/2017","2017",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Scientist at Michael Dustin group","University of Oxford","Public","Research"
"10","a9b4dab1b15956b98c0f0768e74fd37f","D.Sc. researhcer at Manfred Kopf lab at ETH Zürich","Switzerland","4b59a6298d5485852ddda0888d7051cc","2016/2017","2017",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"PhD Researcher","Faculté de Médecine Sorbonne Université","Public","Student"
"11","a9b4dab1b15956b98c0f0768e74fd37f","D.Sc. researhcer at Manfred Kopf lab at ETH Zürich","Switzerland","4b59a6298d5485852ddda0888d7051cc","2016/2017","2017",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Research Engineer","Sorbonne University / INSERM","Public","Research"
"12","a9b4dab1b15956b98c0f0768e74fd37f","D.Sc. researhcer at Manfred Kopf lab at ETH Zürich","Switzerland","4b59a6298d5485852ddda0888d7051cc","2016/2017","2017",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Research Intern - Sebastian Maerkl lab","EPFL (École polytechnique fédérale de Lausanne)","Public","Student"
"13","a9b4dab1b15956b98c0f0768e74fd37f","D.Sc. researhcer at Manfred Kopf lab at ETH Zürich","Switzerland","4b59a6298d5485852ddda0888d7051cc","2016/2017","2017",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Former Research Intern","Institut Pasteur - Michael Nigles group","Public","Student"
"14","30522eb93ac97db401e20318e69ba076","Responsable coordination instrument de financement ""challenge"" at ANR (Agence nationale de la recherche)","France","069cd1cb8ccefdc95a4c1aba681fb64a","2004/2005","2005",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Responsable coordination instrument de financement ""challenge""","ANR (Agence nationale de la recherche)","Public","Other"
"15","170339aeaaa9079f4bbc534d5b3dd8d2","Responsable de la mise en œuvre du plan Données du CNRS at cnrs","France","a3e16b92e6ca6a2cb9cbb47a169e27d3","2005/2006","2006",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"Responsable de la mise en œuvre du plan Données du CNRS","cnrs","Public","Other"
"16","170339aeaaa9079f4bbc534d5b3dd8d2","Responsable de la mise en œuvre du plan Données du CNRS at cnrs","France","a3e16b92e6ca6a2cb9cbb47a169e27d3","2005/2006","2006",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Chargée des usages et des utilisateurs","CNRS - Centre national de la recherche scientifique","Public","Other"
"17","170339aeaaa9079f4bbc534d5b3dd8d2","Responsable de la mise en œuvre du plan Données du CNRS at cnrs","France","a3e16b92e6ca6a2cb9cbb47a169e27d3","2005/2006","2006",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Responsable du programme ""Coworking Étudiants-Entrepreneurs""","Frateli Lab","Private","Other"
"18","170339aeaaa9079f4bbc534d5b3dd8d2","Responsable de la mise en œuvre du plan Données du CNRS at cnrs","France","a3e16b92e6ca6a2cb9cbb47a169e27d3","2005/2006","2006",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Cours d'Humanités numériques dans un Master d'histoire contemporaine","Université du Luxembourg","Public","Other"
"19","170339aeaaa9079f4bbc534d5b3dd8d2","Responsable de la mise en œuvre du plan Données du CNRS at cnrs","France","a3e16b92e6ca6a2cb9cbb47a169e27d3","2005/2006","2006",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Co-gérante et co-fondatrice","Deuxième labo","Public","Entrepreneurship"
"20","170339aeaaa9079f4bbc534d5b3dd8d2","Responsable de la mise en œuvre du plan Données du CNRS at cnrs","France","a3e16b92e6ca6a2cb9cbb47a169e27d3","2005/2006","2006",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Coordinator (introduction to biology)","EHESP - School of Public Health","Public","Other"
