"","Name","Position","Current.company","Location","URL","year","master_year","year1","year2","year3","year4","year5","year6","year7","year8","year9","year10","year11","year12","year13","year14","year15","year16","year17","Degree","School","Level"
"1","3dfe538cddddd9a5088331dd2eabd3cc","Postdoctoral Researcher at University of California, Berkeley","University of California, Berkeley","Berkeley, California, United States","ed61a2091fba786225c1391bdaff54d7","2014/2015","2015",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Doctor of Philosophy (Ph.D.), Biology","UCL","PhD"
"2","a9b92235fc0aefb3f3a8b95ab97a9777","PsyD Doctoral Student - Clinical Psychology The Chicago School of Professional Psychology, Los Angeles","The Adult Skills Center (TASC)","Los Angeles, California, United States","e0e48dc087f4b85e7ab19ac3ac1cda6b","2018-2019","2019",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"PsyD - Doctor of Clinical Psy, Clinical Psychology","The Chicago School of Professional Psychology at Los Angeles","PhD"
"3","a9b92235fc0aefb3f3a8b95ab97a9777","PsyD Doctoral Student - Clinical Psychology The Chicago School of Professional Psychology, Los Angeles","The Adult Skills Center (TASC)","Los Angeles, California, United States","e0e48dc087f4b85e7ab19ac3ac1cda6b","2018-2019","2019",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"PsyD - Doctor of Clinical Psy, Clinical Psychology","The Chicago School of Professional Psychology at Los Angeles","PhD"
"4","6b59fe70d873cab32889f868b49d7556","Consultant freelance F&R SAP","Decathlon France","Lille, Hauts-de-France, France","87f9b6030d22bb591336a032af8f72c4","2010/2011","2011",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Doctorat , Interface Physique Biologie","Learning Planet Institute","PhD"
"5","beeb940b8c48fe0bff65a4c89fd9535b","Scientist chez MaxiVAX","MaxiVAX","Switzerland","679cb84cbd813463eb03c1c454098411","2012/2013","2013",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Docteur en Biologie, Immunologie","University of Lausanne - UNIL","PhD"
"6","0e8b6f6e19692462b94fe66c11820c7c","Vascular Surgery Resident at Greater Paris University Hospitals - AP-HP","Greater Paris University Hospitals - AP-HP","Paris, Île-de-France, France","4fcb7054074d21aae09ddfb2ebd367f5","2014/2015","2015",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Chirurgie Vasculaire","Université Paris Cité","PhD"
"7","0e8b6f6e19692462b94fe66c11820c7c","Vascular Surgery Resident at Greater Paris University Hospitals - AP-HP","Greater Paris University Hospitals - AP-HP","Paris, Île-de-France, France","4fcb7054074d21aae09ddfb2ebd367f5","2014/2015","2015",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Diplôme Inter-Universitaire d'Imagerie Vasculaire Non Invasive","Université Paris Descartes","Other"
"8","0e8b6f6e19692462b94fe66c11820c7c","Vascular Surgery Resident at Greater Paris University Hospitals - AP-HP","Greater Paris University Hospitals - AP-HP","Paris, Île-de-France, France","4fcb7054074d21aae09ddfb2ebd367f5","2014/2015","2015",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Doctor of Medicine (M.D.)","Université Paris Cité","PhD"
"9","b4a0ffcd740b4f7b20f592846c906e0b","Ph.D. Ingénierie Environnementale","Eiffage","Paris et périphérie","8771af184c02ffc0549e621ed56dae3d","2011/2012","2012",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Master of Arts (M.A.), Communication Scientifique","University of the West of England","Master"
"10","0f1dc4b204f8de6bf328c06a0e6fa873","Product Owner chez Stago","Stago","Greater Paris Metropolitan Region","aa81c53f9bada93c8ef5f82250f4c320","2006/2007","2007",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Doctorat en Immunologie (soutenance : 11 avril 2011), Biologie (Immunologie) ; obtenu avec mention très honorable","Université Paris Cité","PhD"
"11","d73f218d8dcd8d5a6fc74cc50e0a36c8","--","codecentric AG","Germany","5488d498028fb3b258e8f03b7db5e411","2014/2015","2015",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Master of Science (M.Sc.), Informatik","Technical University of Munich","Master"
"12","846ce5036a2ac9606a39f3cbde69b17d","Scientist at Codexis","Codexis, Inc.","San Francisco Bay Area","b2afab38831e867ffd75c61916108a7d","2011/2012","2012",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"PhD, Interdisciplinary Biology","Learning Planet Institute","PhD"
"13","8cb64003043a6171d71691d88a0ba3d0","PhD in Evolutionary Biology/Behavioral Ecology/Sensory Ecology/Herpetology","Universi","France","17fb1e4a2e358de06aec2741d06f7c6e","2014/2015","2015",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Doctorat, Ecologie, évolution et biologie environnementale","Université Paris Cité","PhD"
"14","648faedf7cd1e3f6e764f2e82afd6e5e","Lead data Engineer chez AXA en France","AXA en France","Greater Paris Metropolitan Region","12456c6720eed1c3330696cdca39953e","2005/2006","2006",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"PhD, Science de la vie","Université Paris Cité","PhD"
