Name,Occupation,Country,Company,Position,Type,CRI
0064692b7bc52326414c8f9c2bfe0445,"PostDoc @Western and @UQuebec, Ph.D. @Charité, M.Sc. @ENS Paris",Canada,"Charité,deepkapha.ai,Public Library of Science (PLOS),Doctors for Madagascar,ALTEX – Alternatives to Animal Experimentation,neuraltrain,CNRS - Centre national de la recherche scientifique,Western University,University of Quebec,Bundesinstitut für Risikobewertung,Springer Nature · Part-time,Ōyama,Manning Publications Co.,Karolinska Institutet","Postdoctoral Researcher,Scientist,Technical Reviewer,Research Assistant,Manuscript Reviewer,Head Of Research,Chief Scientific Officer,Postdoctoral Associate,PHD Candidate,Research Internship,Guest Researcher,Reviewer,Research Scientist,PostDoc @Western and @UQuebec, Ph.D. @Charité, M.Sc. @ENS Paris","Research,Other,Student","Master Edu,Master Exp"
00b11a3e2e7ad34edddea58da8c29836,Animatrice d'ateliers pédagogiques et de bien être, France,Université de Paris · Internship,Research Project,Research,Master Exp
014dbf120b34b7f51f8be45957173941,"Manager, Quality and Regulatory Affairs at BforCure",France,"Institut Jacques Monod/CNRS & University Paris Diderot,BforCure","Manager, Quality and Regulatory Affairs,PhD candidate",Student,PhD
02250991e7e7d85909a9a408030c4b73,Designer at Inno3 SAS,France,"VirtualiSurg, Immersive & Adaptive learning for surgery,Inno3 SAS,CRI,CogLab, NeuroTechX Paris","UX-VR Researcher,Lead XR Teacher,Designer,Education Mentor,President & Founder","Research,Board,Other,Student",Master Exp
0425089f7a7b809453459d3a134d7461,, France,"Institut Pasteur,CRSA PARIS","PHD Student - Equipe Microbiote, Intestin et Inflammation,Internship - Synthetic Biology - David Bikard's group,PHD Student - Synthetic Biology Lab",Student,Master Exp
04ef2f848e9374f33d0960bf3df7717e,Ingénieur R&D : ingénierie tissulaire et biomatériaux at Poietis,France,"Licence Frontières du vivant,Nanobiose,Grenoble INP - Phelma,Poietis","Stagiaire,Ingénieur stagiaire,Master,Étudiant diplômé,Ingénieur R&D : ingénierie tissulaire et biomatériaux",Student,"Licence Edu,Licence Exp"
059b4e93e91a30445d63f15920feaea2,Research Assistant at bit.bio,United Kingdom,bit.bio,Research Assistant,Research,Master Exp
0616af462ec9f28eeaf8e1164c49e829,Postdoctoral Researcher at Centre national de la recherche scientifique,France,"CRI,Centre national de la recherche scientifique,Université Pierre et Marie Curie,INSERM","Postdoctoral Researcher,PhD in Neuroscience,Teacher,Postdoctoral Fellow","Research,Student",PhD
06571c000d571e8b507e363a8c2f5b49,Neuroscience and more, United States,Université Paris 5,Graduate student,Student,Master Exp
076fb11a7c8c7d8de503396fd479c518,Postdoctoral Fellow at École normale supérieure,France,"Université Paris Descartes,École normale supérieure","Doctorant contractuel - PhD: Theoretical ecology, Evolution,Teaching Assistant,Postdoctoral Fellow","Other,Research,Student",PhD
07bd26b9bf38496a14f28f7d33610815,Responsable éditorial des contenus pédagogiques at Skill and You,France,Skill and You,"Responsable éditorial des contenus pédagogiques,Responsable pédagogique de l'École des pros, Natura-dis, Fashion skills et Lignes et Formations,Collaboratrice pédagogique à L'École des Pros","Other,Student",Master Exp
07fe254c630a03cb0bcb636b76013776,Chargée de mission Relations Financeurs - Grande Ecole du Numérique,France,"Makerlab, CRI · Internship,Acadomia,Sciences Po","Enseignante de Culture Numérique,Chercheur stagiaire,Coordinatrice pédagogique","Other,Student",Master Exp
080802653c455fc3e7d8e563eb53aa55,Associate Director Data Science at Novartis Institutes for BioMedical Research (NIBR), Switzerland,"Unilever,Robinson College MCR,Pierre and Marie Curie University","Associate Director Data Science at Novartis Institutes for BioMedical Research (NIBR),Master in Physical and Theoretical Chemistry,Visiting PhD student,MCR President","Other,Student","Master Edu,Master Exp"
082442820e1956382f28f611f889e39e,Co-Founder & CEO at nr2,South Korea,"nr2,French Tech Seoul,Startupbootcamp Media & Adtech,Technology Expansion Partners,Karakul,Cylad Consulting,Institut Jacques Monod/CNRS","PhD Researcher in Biophysics,Board Director,Senior Private Equity Analyst,Co-Founder & CPO (company acquired in February 2019),Management Consultant & Data Scientist,Co-Founder & CEO,Director,External  Advisor","Entrepreneurship,Board,Other,Student",PhD
0855819dd5d1e4bbc1fb286d2fe75aa3,PhD student at École normale supérieure,France,École normale supérieure,PhD student,Student,PhD
08794f3ab79d0bd8ee3091c566b210e6,Internship at frei Universität Berlin -Ecology lab,France,,Other,,Licence Edu
090470d0e499a32128152271dbe4a287,PhD Student in Clinical Neurosciences at University of Cambridge,United Kingdom,"Saïd Business School, University of Oxford,L'Oréal,Ecole polytechnique fédérale de Lausanne,Imperial College London,University of Cambridge,Harvard Medical School","PhD Student in Clinical Neurosciences,EIT Health Active Ageing Oxford Summer School,Master's thesis,Bachelor’s thesis Project,Semester research project,Engineering internship,Master,PhD","Other,Research,Student","Licence Edu,Licence Exp"
090af5b3cd8eaa0b1d386c81b2970133,Neuroscience & Nanotechnology, China,"TUM,Suzhou Institute of Biomedical Engineering and Technology","Lab director,Neuroscience & Nanotechnology,Postdoctoral Fellow","Board,Research","Master Edu,Master Exp"
094386971bbab39897db7d658f461c62,Stagiaire en laboratoire de recherche at CEREEP-Ecotron Ile de france,United States of America,,Master,,Licence Edu
09942a4dc57aca0e2ca535de5611665b,Education Project Manager,France,"Beecome.io,JEGLABS,Observatoire des Camps de Réfugiés,Rhizome Association,re:Start,LearnSpace","Co-founder & Head of Partnerships,Project Manager,Education Project Manager,International Outreach & Partnerships,Contributor,Education Project Manager - LATAM","Other,Entrepreneur,Student",Master Exp
0a824c77bf6790f7c04873628ad6c0e6,"Team Leader - Synthetic Biology,Team Leader - Synthetic Biology at Eligo Bioscience","Greater Paris Metropolitan Region,France","iGEM Paris-Bettencourt team 2011,INSERM,iGEM Paris-Bettencourt team 2012,ENS - Laboratory of Statistical Physics (LPS) - Nicolas Desprat,Eligo Bioscience,INRIA - contraintes lab - Gregory Batt","Advisor,PhD student,Development and analysis of a stochastic model of the extrinsic apoptosis pathway,Variability of a public good production in a clonal population,Team Leader - Synthetic Biology","Other,Student","PhD,Master Exp"
0b2486808ad6dcd279feff2d496bf99d,Ricercatore post dottorato at Institut Pasteur,France,"Institut Pasteur,Institut Jacques Monod/CNRS","Studente di dottorato,Ricercatore post dottorato","Research,Student",PhD
0b76f2ad278ad3a81b715029b7038f52,"Student,PHD Candidate at Western Sydney University","Australia, Australia","Centre de Psychiatrie et Neurosciences,Western Sydney University,Sanofi,Curtin University,Centre de Psychiatrie et Neurosciences, Sanofi Aventis,Institut Pasteur,CNRS, IBPC,University of Bordeaux","PHD Candidate at Western Sydney University,Research Assistant,PHD Candidate,Research Intern,Research Engineer","Research,Student","PhD,Master Edu,Master Exp"
0c403b4b163906ca44e3f353ba1aef8c,Data at Sonio, France,"Newcastle University,Reseau BIOTechno,SQLI,Institut Pasteur,Altran,Sonio","PhD in Human Developmental Genetics,Junior Researcher - AXA Fellow,Data at Sonio,Forum Biotechno 2016 organization team,Clinical Data Manager,Consultant Big Data,Consultant Data Scientist","Research,Other,Student","Master Edu,Master Exp"
0c8c53790d60ab63100caa7f81ddf9b6,Conseillère Carrière pour l'évolution professionnelle des scientifiques at Institut Pasteur,France,"Inserm,FI Group,Institut Pasteur,Rigshospitalet,Inra - Institut national de la recherche agronomique (France)","PhD Immunology / Parasitology,Rédactrice scientifique,Intership,Internship,Conseillère Carrière pour l'évolution professionnelle des scientifiques,Master,PhD","Research,Student","Licence Edu,Licence Exp"
0cad16aa32b5827b2e082bd597b95080,Lecturer at The University of Auckland,New Zealand,"Institut Méditerranéen d'océanologie,The University of Auckland,Applied Physics Laboratory, University of Washington,Institute for Marine and Antarctic Studies,Applied Physics Laboratory - University of Washington,LOCEAN-IPSL / IMAS","Marie Skłodowska Curie Fellow,Research Associate,PhD Candidate,Research Engineer,Lecturer","Research,Student",PhD
0d04449eb0cb200c359ca207bb3692b3,Postdoctoral Researcher at Humboldt University of Berlin,Germany,"Humboldt University of Berlin,Centre national de la recherche scientifique","Postdoctoral Researcher,Assistant Engineer","Research,Other",PhD
