,Name,Skills,Skill_English,Skill_cleaned,subcategoryName,categoryName
0,0064692b7bc52326414c8f9c2bfe0445,"{'Programming', 'Computational Modeling', 'Neuroscience', 'Matlab', 'LaTeX', 'Python', 'Machine Learning', 'Science', 'in Vivo Electrophysiology', 'Data Analysis', 'Animal Behavior', 'Organization Skills', 'Artificial Neural Networks', 'Cognitive Neuroscience', 'Design of Experiments', 'Deep Learning', 'Experimental Research', 'Research', 'Microsoft Office', 'Artificial Intelligence', 'Literature Reviews', 'NEURON', 'SPSS', 'Mathematical Modeling', 'Scientific Writing', 'Python (Programming Language)', 'Statistics'}","['Literature Reviews', 'Computational Modeling', 'Animal Behavior', 'Python (Programming Language)', 'Research', 'Science', 'Organization Skills', 'Cognitive Neuroscience', 'Programming', 'Deep Learning', 'Artificial Neural Networks', 'Neuroscience', 'NEURON', 'Artificial Intelligence', 'Design of Experiments', 'Microsoft Office', 'Python', 'Data Analysis', 'Matlab', 'Scientific Writing', 'Experimental Research', 'Statistics', 'in Vivo Electrophysiology', 'SPSS', 'LaTeX', 'Mathematical Modeling', 'Machine Learning']","['Electrophysiology', 'Computer Programming', 'Artificial Intelligence', 'SPSS Modeler', 'Data Analysis', 'Deep Learning', 'Python (Programming Language)', 'Mathematical Modeling', 'Experimental Psychology', 'Artificial Neural Networks', 'Neuroscience', 'Animal Science', 'Machine Learning', 'Computational Modeling', 'Cognitive Neuroscience', 'Microsoft Office', 'Statistics', 'LaTeX', 'Administrative Skills', 'Research', 'Literature Reviews', 'Experimental Design', 'MATLAB', 'Scientific Writing', 'Physical Science', 'Neurons']","['Statistical Software', 'Molecular, Cellular, and Microbiology', 'Cardiology', 'Administrative Support', 'Data Analysis', 'Office and Productivity Software', 'Literature and Literary Studies', 'Mathematical Software', 'nan', 'Artificial Intelligence and Machine Learning (AI/ML)', 'Mathematics and Mathematical Modeling', 'Neuroscience', 'Mental and Behavioral Health Specialties', 'Biology', 'Writing and Editing', 'Statistics', 'Neurology', 'Scripting Languages', 'Computer Science', 'Research Methodology', 'Earth and Space Science']","['Science and Research', 'Health Care', 'Analysis', 'nan', 'Information Technology', 'Media and Writing', 'Administration']"
1,00b11a3e2e7ad34edddea58da8c29836,"{'Microsoft Outlook', 'Basecamp', 'Fundraising', 'Editing', 'Community Outreach', 'French', 'Social Media', 'Google Suite', 'Communication', 'Academic Writing', 'Vietnamese', 'Customer Service', 'Microsoft Excel', 'Google+', 'Management', 'Microsoft PowerPoint', 'Event Planning', 'Public Speaking', 'Teamwork', 'Microsoft Word', 'Research', 'Web Content Writing', 'Salesforce.com Administration', 'Microsoft Office', 'Project Management', 'Social Media Marketing', 'Confluence', 'Salesforce.com Development'}","['Salesforce.com Administration', 'Google Suite', 'Community Outreach', 'Research', 'Basecamp', 'Microsoft Outlook', 'Editing', 'Salesforce.com Development', 'Confluence', 'Project Management', 'Microsoft Office', 'Teamwork', 'Management', 'Customer Service', 'Fundraising', 'Social Media Marketing', 'English', 'Social Media', 'Public Speaking', 'Communication', 'Academic Writing', 'Web Content Writing', 'Microsoft Excel', 'Vietnamese', 'Microsoft PowerPoint', 'Event Planning', 'Microsoft Word', 'Google+']","['Salesforce Development', 'Social Media Marketing', 'Microsoft PowerPoint', 'Microsoft Outlook', 'Community Management', 'Public Speaking', 'Human Communication', 'Microsoft Excel', 'Social Media', 'Vietnamese Language', 'Google+', 'Atlassian Confluence', 'English Language', 'Event Planning', 'Web Development', 'Academic Writing', 'SharePoint Administration', 'Basecamp', 'Microsoft Office', 'Management', 'Fundraising', 'Research', 'Microsoft Word', 'Internet Suite', 'Customer Service', 'Project Management', 'Teamwork', 'Editing']","['Fundraising and Crowdsourcing', 'Social Media', 'Urban and Regional Planning', 'Events and Conferences', 'Project Management', 'Enterprise Application Integration', 'Business Management', 'Writing and Editing', 'Web Design and Development', 'Office and Productivity Software', 'Language Competency', 'Research Methodology', 'Basic Customer Service', 'Communication', 'Social Awareness', 'nan']","['Business', 'Science and Research', 'Hospitality and Food Services', 'Language', 'Information Technology', 'nan', 'Economics, Policy, and Social Studies', 'Marketing and Public Relations', 'Physical and Inherent Abilities', 'Media and Writing', 'Customer and Client Support', 'Administration']"
2,00b1a8c869074d20e1dac21d3662e82f,"{'Linux', 'Laboratoire', 'Recherche', 'Python'}","['Research', 'Laboratory', 'Python', 'Linux']","['Research', 'Linux', 'Medical Laboratory', 'Python (Programming Language)']","['Scripting Languages', 'Research Methodology', 'Operating Systems', 'Medical Science and Research']","['Science and Research', 'Information Technology']"
3,0425089f7a7b809453459d3a134d7461,"{'Informatique', 'Microsoft Office', 'physique', 'Chimie', 'Biologie', 'Mathématiques'}","['Biology', 'Mathematics', 'Microsoft Office', 'Information technology', 'Chemistry', 'Physical']","['Chemistry', 'Elementary Mathematics', 'Biology', 'Microsoft Office', 'Physical Science', 'Information Technology']","['Computer Science', 'Childhood Education and Development', 'Chemistry', 'Biology', 'Office and Productivity Software', 'Earth and Space Science']","['Science and Research', 'Information Technology', 'Education and Training', 'Administration']"
4,059b4e93e91a30445d63f15920feaea2,"{'Tissue Culture', 'Microsoft Office', 'Assay Development', 'Ipsc', 'Cell Biology', 'Python (Basic)', 'Robotics', 'Molecular Cloning', 'Bacterial Cell Culture', 'Genetics', 'Genome Editing', 'Automation', 'Mammalian Cell Culture', 'Molecular Biology', 'Data Analysis', 'Synthetic Biology', 'Polymerase Chain Reaction (PCR)', 'Strategic Planning'}","['Bacterial Cell Culture', 'Molecular Biology', 'Polymerase Chain Reaction (PCR)', 'Molecular Cloning', 'Automation', 'Synthetic Biology', 'Robotics', 'Microsoft Office', 'Strategic Planning', 'Data Analysis', 'Cell Biology', 'Assay Development', 'Ipsc', 'Tissue Culture', 'Genome Editing', 'Mammalian Cell Culture', 'Python (Basic)', 'Genetics']","['Cell Cultures', 'Molecular Cloning', 'RISC OS', 'Cell Biology', 'Automation', 'Synthetic Biology', 'Genome Editing', 'Medical Genetics', 'Robotics', 'Polymerase Chain Reaction', 'Bacterial Cultures', 'Microsoft Office', 'Data Analysis', 'Assay Development', 'Tissue Culture', 'Python (Programming Language)', 'Strategic Planning', 'Molecular Biology']","['Genetic Disorders', 'Scripting Languages', 'Biology', 'Business Strategy', 'Robotics', 'Data Analysis', 'Office and Productivity Software', 'Genetics', 'Molecular, Cellular, and Microbiology', 'nan', 'Laboratory Research', 'IT Automation']","['Science and Research', 'Business', 'Engineering', 'Health Care', 'Information Technology', 'Analysis', 'nan', 'Administration']"
5,05e55e01f6d1da851f80848c7ed6d235,"{'Microscopie à fluorescence', ""Analyse d'image"", 'Microscopy', 'Biologie cellulaire', 'Biophysique', 'Fluorescence Microscopy', 'Research', 'Microscopie'}","['Cell biology', 'Biophysics', 'Fluorescence Microscopy', 'Image Analysis', 'Research', 'Microscopy', 'Microscopy', 'Fluorescence microscopy']","['Microscopy', 'Cell Biology', 'Fluorescent Microscopy', 'Image Analysis', 'Research', 'Biophysics']","['Biology', 'Image Analysis', 'Research Methodology', 'Molecular, Cellular, and Microbiology', 'Laboratory Research']","['Science and Research', 'Analysis']"
6,06571c000d571e8b507e363a8c2f5b49,"{'Neuroscience', 'Microscopy', 'Matlab', 'Scientific Analysis', 'Teaching', 'Science', 'Calcium Imaging', 'Neurophysiology', 'Data Analytics', 'Data Analysis', 'R', 'Git', 'Genetics', 'Research', 'JavaScript', 'Electrophysiology', 'Julia', 'Viola', 'Life Sciences'}","['Teaching', 'Data Analytics', 'Electrophysiology', 'Research', 'Science', 'Git', 'Microscopy', 'Life Sciences', 'R', 'Neuroscience', 'Neurophysiology', 'Data Analysis', 'Matlab', 'Viola', 'JavaScript', 'Scientific Analysis', 'Calcium Imaging', 'Genetics', 'Julia']","['R Commander', 'Medical Genetics', 'Electrophysiology', 'Gitbook', 'Analytics', 'Data Analysis', 'Neurophysiology', 'Teaching', 'Neuroscience', 'Microscopy', 'Medical Imaging', 'Violin Teaching', 'Research', 'Life Sciences', 'MATLAB', 'JavaScript (Programming Language)', 'Quantitative Analysis', 'Physical Science', 'Julia (Programming Language)']","['Genetic Disorders', 'Teaching', 'Neuroscience', 'JavaScript and jQuery', 'Mathematics and Mathematical Modeling', 'Scripting Languages', 'Medical Imaging', 'Biology', 'Data Analysis', 'Research Methodology', 'Neurology', 'Mathematical Software', 'Cardiology', 'nan', 'Laboratory Research', 'Earth and Space Science']","['Science and Research', 'Health Care', 'Information Technology', 'Analysis', 'Education and Training', 'nan']"
7,06c19a271672f8d9484e437be99e27ce,"{'Informatique', 'Microsoft Office', 'Anglais', 'Formation des salariés', 'Formation', 'Parler en public', 'Gestion de projet', 'Animation de formation'}","['Talking in public', 'Training of employees', 'Training activities', 'Training', 'English', 'Project management', 'Microsoft Office', 'Information technology']","['Public Speaking', 'Project Management', 'Training And Development', 'Fitness Training', 'Microsoft Office', 'Information Technology', 'English Language', 'Recruit Training']","['Computer Science', 'Employee Training', 'Project Management', 'Office and Productivity Software', 'Language Competency', 'Communication', 'nan', 'Coaching and Athletic Training']","['Business', 'Language', 'Information Technology', 'nan', 'Education and Training', 'Physical and Inherent Abilities', 'Human Resources', 'Administration']"
8,080802653c455fc3e7d8e563eb53aa55,"{'Cell Culture', 'English', 'Lifesciences', 'German', 'French', 'Python', 'Biochemistry', 'Machine Learning', 'Chemistry', 'Computational Biology', 'Cell Biology', 'Mentoring', 'R (Programming Language)', 'Strategy', 'Genomics', 'Cheminformatics', 'Relational Databases', 'Molecular Biology', 'R', 'Data Mining', 'Photography', 'Italian', 'Project Management', 'Cooking', 'Medicinal Chemistry', 'Life Sciences', 'Leadership', 'Bioinformatics', 'Drug Discovery', 'Python (Programming Language)', 'Biotechnology', 'Computational Chemistry'}","['Bioinformatics', 'Mentoring', 'English', 'Biochemistry', 'R (Programming Language)', 'Relational Databases', 'Lifesciences', 'Project Management', 'Chemistry', 'Photography', 'Python', 'Drug Discovery', 'Cell Culture', 'Computational Biology', 'Biotechnology', 'Medicinal Chemistry', 'Cheminformatics', 'Computational Chemistry', 'Molecular Biology', 'Cooking', 'German', 'Python (Programming Language)', 'Life Sciences', 'R', 'Data Mining', 'Genomics', 'Leadership', 'Cell Biology', 'English', 'Strategy', 'Machine Learning', 'Italian']","['Cheminformatics', 'Cell Cultures', 'Relational Databases', 'R Commander', 'Data Mining', 'Bioinformatics', 'Computational Biology', 'Drug Discovery', 'Cell Biology', 'Mentorship', 'Computational Chemistry', 'Strategy Dynamics', 'Python (Programming Language)', 'Biochemistry', 'Genomics', 'English Language', 'Medicinal Chemistry', 'R (Programming Language)', 'Italian Language', 'German Language', 'Chemistry', 'Machine Learning', 'Recipes', 'Leadership', 'Life Sciences', 'Molecular Biology', 'Photography', 'Project Management', 'Biotechnology']","['Bioinformatics', 'Language Competency', 'Genetics', 'Databases', 'Molecular, Cellular, and Microbiology', 'Pharmacology and Drug Discovery', 'Food and Beverage', 'nan', 'Artificial Intelligence and Machine Learning (AI/ML)', 'Data Science', 'Teaching', 'Chemistry', 'Biology', 'Other Programming Languages', 'Scripting Languages', 'Initiative and Leadership', 'Project Management', 'Photo/Video Production and Technology', 'Biotechnology']","['Science and Research', 'Business', 'Hospitality and Food Services', 'Language', 'Analysis', 'Physical and Inherent Abilities', 'Education and Training', 'Information Technology', 'Media and Writing', 'nan']"
9,0904e723e54974c709ea2c7f100df657,"{'Teaching', 'University Teaching', 'Science', 'Physics', 'Microscopy', 'Life Sciences', 'Biology', 'Bioinformatics', 'Mathematical Modeling', 'LaTeX', 'Fluorescence Microscopy', 'Research', 'R', 'Statistics'}","['Bioinformatics', 'University Teaching', 'Statistics', 'Physics', 'Fluorescence Microscopy', 'Teaching', 'Research', 'Science', 'Life Sciences', 'Microscopy', 'LaTeX', 'R', 'Mathematical Modeling', 'Biology']","['Teaching', 'Microscopy', 'R Commander', 'Bioinformatics', 'Fluorescent Microscopy', 'Biology', 'Statistics', 'LaTeX', 'Physics', 'Mathematical Modeling', 'Physical Science', 'Research', 'Life Sciences']","['Teaching', 'Mathematics and Mathematical Modeling', 'Bioinformatics', 'Biology', 'Statistics', 'Research Methodology', 'Physics', 'nan', 'Laboratory Research', 'Earth and Space Science']","['Science and Research', 'nan', 'Analysis', 'Education and Training']"
