source;target;weight
2;0;1.0
2;1;3.0
3;0;1.0
3;1;1.0
3;2;5.0
4;3;6.0
5;3;1.0
6;2;2.0
6;4;3.0
7;0;1.0
7;2;2.0
7;3;1.0
7;4;1.0
9;2;2.0
9;6;1.0
10;2;1.0
13;2;1.0
14;0;1.0
14;2;5.0
14;3;2.0
15;4;1.0
16;1;1.0
16;2;1.0
17;3;2.0
17;14;1.0
20;2;1.0
20;3;1.0
20;4;1.0
20;11;1.0
20;17;2.0
21;0;1.0
21;1;1.0
21;2;1.0
21;3;2.0
21;4;1.0
21;11;1.0
21;12;1.0
21;14;1.0
21;16;1.0
21;20;1.0
23;4;1.0
23;6;2.0
24;0;1.0
24;2;3.0
24;4;1.0
24;6;1.0
24;7;2.0
24;20;1.0
24;23;1.0
25;2;1.0
25;24;1.0
26;11;1.0
26;20;1.0
26;21;1.0
26;23;1.0
27;21;1.0
28;0;1.0
28;2;1.0
28;4;3.0
28;6;6.0
28;7;2.0
28;12;1.0
28;15;1.0
28;20;1.0
28;24;3.0
29;1;1.0
29;2;9.0
29;3;1.0
29;4;2.0
29;6;2.0
29;7;1.0
29;10;1.0
29;13;1.0
29;14;3.0
29;16;2.0
29;21;3.0
29;23;1.0
29;24;2.0
29;26;2.0
29;28;2.0
31;1;4.0
31;2;10.0
31;3;14.0
31;4;8.0
31;6;6.0
31;7;1.0
31;9;1.0
31;11;1.0
31;14;7.0
31;15;1.0
31;16;1.0
31;18;1.0
31;20;3.0
31;21;4.0
31;22;1.0
31;23;5.0
31;24;3.0
31;26;1.0
31;27;1.0
31;28;6.0
31;29;4.0
31;30;1.0
32;3;3.0
32;4;1.0
32;6;1.0
32;20;1.0
32;21;1.0
32;24;1.0
32;31;6.0
33;1;1.0
33;2;1.0
33;6;1.0
33;8;2.0
33;31;1.0
34;3;2.0
34;23;1.0
34;24;1.0
34;31;1.0
35;1;1.0
35;2;3.0
35;3;1.0
35;4;3.0
35;6;5.0
35;7;1.0
35;11;1.0
35;24;2.0
35;25;1.0
35;28;2.0
35;31;9.0
35;33;1.0
35;34;1.0
36;3;1.0
36;4;2.0
36;29;1.0
36;31;3.0
36;32;2.0
37;0;1.0
37;2;10.0
37;3;32.0
37;4;9.0
37;5;1.0
37;6;3.0
37;7;1.0
37;10;1.0
37;11;1.0
37;14;4.0
37;15;1.0
37;17;4.0
37;20;6.0
37;21;4.0
37;22;1.0
37;23;8.0
37;24;5.0
37;26;1.0
37;27;1.0
37;28;2.0
37;29;3.0
37;30;1.0
37;31;44.0
37;32;6.0
37;34;3.0
37;35;3.0
37;36;3.0
38;1;1.0
38;4;1.0
38;6;1.0
38;24;1.0
38;31;1.0
38;32;1.0
38;35;2.0
39;2;1.0
39;3;1.0
39;23;1.0
39;37;2.0
40;1;1.0
40;31;1.0
40;38;1.0
41;2;1.0
41;3;1.0
41;37;1.0
42;1;1.0
42;2;3.0
42;3;1.0
42;4;2.0
42;6;3.0
42;9;2.0
42;16;1.0
42;21;1.0
42;24;1.0
42;28;2.0
42;29;1.0
42;31;7.0
42;32;1.0
